suite,case,config,status,note,rust_status
compiler,assignmentCompatability46.ts,,go-diff,,
compiler,assignmentCompatability5.ts,,go-pass,,
compiler,assignmentCompatability6.ts,,go-pass,,
compiler,assignmentCompatability7.ts,,go-pass,,
compiler,assignmentCompatability8.ts,,go-pass,,
compiler,assignmentCompatability9.ts,,go-pass,,
compiler,assignmentCompatability_checking-apply-member-off-of-function-interface.ts,,go-diff,,
compiler,assignmentCompatability_checking-call-member-off-of-function-interface.ts,,go-diff,,
compiler,assignmentCompatibilityForConstrainedTypeParameters.ts,,go-diff,,
compiler,assignmentIndexedToPrimitives.ts,,go-diff,,
compiler,assignmentNestedInLiterals.ts,,go-pass,,
compiler,assignmentNonObjectTypeConstraints.ts,,go-pass,,
compiler,assignmentRestElementWithErrorSourceType.ts,,go-diff,,
compiler,assignmentStricterConstraints.ts,,go-diff,,
compiler,assignmentToAnyArrayRestParameters.ts,,go-diff,,
compiler,assignmentToConditionalBrandedStringTemplateOrMapping.ts,,go-pass,,
compiler,assignmentToExpandingArrayType.ts,,go-pass,,
compiler,assignmentToFunction.ts,,go-diff,,
compiler,assignmentToInstantiationExpression.ts,,go-diff,,
compiler,assignmentToObject.ts,,go-diff,,
compiler,assignmentToObjectAndFunction.ts,,go-diff,,
compiler,assignmentToParenthesizedExpression1.ts,,go-diff,,
compiler,assignmentToReferenceTypes.ts,,go-diff,,
compiler,asyncArrowInClassES5.ts,target=es5,go-pass,,
compiler,asyncArrowInClassES5.ts,target=es2015,go-pass,,
compiler,asyncAwaitWithCapturedBlockScopeVar.ts,target=es5,go-pass,,
compiler,asyncAwaitWithCapturedBlockScopeVar.ts,target=es2015,go-diff,,
compiler,asyncFunctionContextuallyTypedReturns.ts,,go-pass,,
compiler,asyncFunctionNoReturnType.ts,,go-pass,,
compiler,asyncFunctionReturnExpressionErrorSpans.ts,,go-diff,,
compiler,asyncFunctionReturnType.2.ts,,go-pass,,
compiler,asyncFunctionReturnType.ts,,go-pass,,
compiler,asyncFunctionTempVariableScoping.ts,target=es5,go-pass,,
compiler,asyncFunctionTempVariableScoping.ts,target=es2015,go-pass,,
compiler,asyncFunctionWithForStatementNoInitializer.ts,,go-pass,,
compiler,asyncFunctionsAcrossFiles.ts,,go-pass,,
compiler,asyncFunctionsAndStrictNullChecks.ts,,go-pass,,
compiler,asyncIIFE.ts,,go-pass,,
compiler,asyncImportNestedYield.ts,,go-pass,,
compiler,asyncIteratorExtraParameters.ts,,skip-config,untranslatable: notypesandsymbols,
compiler,asyncYieldStarContextualType.ts,,go-pass,,
compiler,augmentArray.ts,,go-pass,,
compiler,augmentExportEquals1.ts,,go-diff,,
compiler,augmentExportEquals1_1.ts,,go-pass,,
compiler,augmentExportEquals2.ts,,go-diff,,
compiler,augmentExportEquals2_1.ts,,go-pass,,
compiler,augmentExportEquals3.ts,,go-pass,,
compiler,augmentExportEquals3_1.ts,,go-pass,,
compiler,augmentExportEquals4.ts,,go-pass,,
compiler,augmentExportEquals4_1.ts,,go-pass,,
compiler,augmentExportEquals5.ts,,go-diff,,
compiler,augmentExportEquals6.ts,,go-pass,,
compiler,augmentExportEquals6_1.ts,,go-pass,,
compiler,augmentExportEquals7.ts,,go-diff,,
compiler,augmentedClassWithPrototypePropertyOnModule.ts,,go-diff,,
compiler,augmentedTypeBracketNamedPropertyAccess.ts,,go-pass,,
compiler,augmentedTypesClass.ts,,go-diff,,
compiler,augmentedTypesClass2.ts,,go-diff,,
compiler,augmentedTypesClass2a.ts,,go-diff,,
compiler,augmentedTypesClass3.ts,,go-pass,,
compiler,augmentedTypesClass4.ts,,go-diff,,
compiler,augmentedTypesEnum.ts,,go-diff,,
compiler,augmentedTypesEnum2.ts,,go-diff,,
compiler,augmentedTypesEnum3.ts,,go-diff,,
compiler,augmentedTypesExternalModule1.ts,,go-pass,,
compiler,augmentedTypesFunction.ts,,go-diff,,
compiler,augmentedTypesInterface.ts,,go-diff,,
compiler,augmentedTypesModules.ts,,go-diff,,
compiler,augmentedTypesModules2.ts,,go-diff,,
compiler,augmentedTypesModules3.ts,,go-diff,,
compiler,augmentedTypesModules3b.ts,,go-pass,,
compiler,augmentedTypesModules4.ts,,go-pass,,
compiler,augmentedTypesVar.ts,,go-diff,,
compiler,autoAsiForStaticsInClassDeclaration.ts,,go-diff,,
compiler,autoLift2.ts,,go-diff,,
compiler,autoTypeAssignedUsingDestructuringFromNeverNoCrash.ts,,go-diff,,
compiler,autolift3.ts,,go-diff,,
compiler,autolift4.ts,,go-diff,,
compiler,autonumberingInEnums.ts,,go-pass,,
compiler,avoid.ts,,go-pass,,
compiler,avoidCycleWithVoidExpressionReturnedFromArrow.ts,,go-pass,,
compiler,avoidListingPropertiesForTypesWithOnlyCallOrConstructSignatures.ts,,go-diff,,
compiler,avoidNarrowingUsingConstVariableFromBindingElementWithLiteralInitializer.ts,,go-pass,,
compiler,awaitCallExpressionInSyncFunction.ts,,go-diff,,
compiler,awaitExpressionInnerCommentEmit.ts,,go-pass,,
compiler,awaitInClassInAsyncFunction.ts,,go-diff,,
compiler,awaitInNonAsyncFunction.ts,,go-diff,,
compiler,awaitLiteralValues.ts,,go-diff,,
compiler,awaitUnionPromise.ts,,go-diff,,
compiler,awaitedType.ts,,go-diff,,
compiler,awaitedTypeCrash.ts,,go-pass,,
compiler,awaitedTypeJQuery.ts,,go-pass,,
compiler,awaitedTypeNoLib.ts,,go-pass,,
compiler,awaitedTypeStrictNull.ts,,go-diff,,
compiler,badArrayIndex.ts,,go-diff,,
compiler,badArraySyntax.ts,,go-diff,,
compiler,badExternalModuleReference.ts,,go-diff,,
